user,user_location_country,user_location_region,user_location_city,destination_distance,search_date,is_mobile,is_package,channel,search_count,checkIn_date,checkOut_date,n_adults,n_children,n_rooms,destination,destination_type,hotel_continent,hotel_country,hotel_market,hotel_category,is_booking
461899,3,50,5703,,2013-01-07 00:00:02,0,0,9,1,2013-03-14,2013-03-15,2,1,1,669,3,2,50,212,41,0
13796,66,174,21177,5713.6206,2013-01-07 00:00:06,0,0,9,3,2013-01-19,2013-01-26,1,0,1,8821,1,6,17,30,58,0
1128575,205,155,14703,795.7298,2013-01-07 00:00:06,0,0,9,1,2013-01-19,2013-01-22,1,0,1,25064,6,2,50,1230,91,0
1080476,69,761,41949,,2013-01-07 00:00:17,0,1,9,1,2013-05-29,2013-06-05,2,0,1,7635,3,2,50,675,10,0
1080476,69,761,41949,,2013-01-07 00:00:23,0,1,9,1,2013-05-29,2013-06-05,2,0,1,7635,3,2,50,675,10,0
1174819,3,49,19105,,2013-01-07 00:00:29,0,0,9,1,2013-04-25,2013-04-28,2,0,1,14908,1,3,88,1032,75,0
1174819,3,49,19105,,2013-01-07 00:00:48,0,0,9,3,2013-04-25,2013-04-28,2,0,1,14908,1,3,88,1032,96,0
233534,3,50,53819,,2013-01-07 00:00:51,0,0,1,2,2013-01-08,2013-01-09,1,1,1,26729,6,6,105,12,61,0
836947,66,459,43805,1768.161,2013-01-07 00:00:55,0,1,9,2,2013-04-13,2013-04-18,3,2,1,12257,6,4,51,1509,5,0
1103572,66,174,6735,2404.0244,2013-01-07 00:01:36,0,0,3,2,2013-02-11,2013-02-13,2,1,1,25169,6,2,50,674,4,0
1174819,3,49,19105,,2013-01-07 00:01:53,0,0,9,3,2013-04-25,2013-04-28,2,0,1,14908,1,3,88,1032,5,0
614322,66,462,14703,2605.0971,2013-01-07 00:02:02,0,0,1,1,2013-01-08,2013-01-15,2,0,1,13094,3,2,50,212,41,0
1162059,66,346,31371,386.4055,2013-01-07 00:02:59,1,0,2,1,2013-01-11,2013-01-14,3,1,1,14985,1,2,50,1241,91,0
13796,66,174,21177,5713.6394,2013-01-07 00:03:41,0,0,9,1,2013-01-19,2013-01-26,1,0,1,8821,1,6,17,30,67,0
1162059,66,346,31371,390.7326,2013-01-07 00:04:40,1,0,2,1,2013-01-11,2013-01-14,3,1,1,14985,1,2,50,1241,40,0
976118,69,761,41949,,2013-01-07 00:04:55,0,1,3,1,2013-02-15,2013-02-15,2,1,1,1014,1,3,92,168,92,0
1080476,69,761,41949,,2013-01-07 00:05:06,0,1,9,1,2013-05-29,2013-06-05,2,0,1,7635,3,2,50,675,83,0
425340,198,208,54488,,2013-01-07 00:05:32,0,0,9,1,2013-02-10,2013-02-11,1,1,1,468,1,3,48,153,64,0
1018895,69,761,41949,,2013-01-07 00:05:39,0,0,0,3,2013-09-08,2013-09-10,2,0,1,27215,6,2,50,645,91,0
368084,66,348,48862,1093.7218,2013-01-07 00:05:42,0,0,3,5,2013-03-04,2013-03-07,4,0,1,44045,3,2,50,701,98,0
1115804,66,174,27437,2439.5321,2013-01-07 00:06:11,0,1,9,1,2013-02-02,2013-02-11,2,0,1,8855,1,2,50,213,0,0
1181711,3,48,40722,,2013-01-07 00:07:12,0,0,3,3,2013-02-10,2013-02-13,2,0,1,8819,1,3,168,1242,97,0
332853,205,155,14703,994.4014,2013-01-07 00:07:17,1,0,9,5,2013-03-24,2013-03-28,2,2,1,12206,6,2,50,628,1,0
13796,66,174,21177,5712.5501,2013-01-07 00:07:23,0,0,9,3,2013-01-19,2013-01-26,1,0,1,8821,1,6,17,30,43,0
255311,3,64,22203,,2013-01-07 00:08:14,0,0,1,1,2013-02-23,2013-02-28,1,0,1,8747,1,3,106,107,28,0
80737,66,174,42881,380.0925,2013-01-07 00:08:16,0,0,9,2,2013-03-20,2013-03-23,2,0,1,8279,1,2,50,1230,72,0
1098664,231,68,42296,,2013-01-07 00:08:31,0,0,9,2,2013-01-22,2013-01-24,2,1,1,669,3,2,50,212,96,0
1127080,69,750,1393,,2013-01-07 00:08:56,0,1,9,3,2013-06-22,2013-06-30,2,0,1,23860,6,6,105,892,82,0
58429,66,174,3622,2411.2683,2013-01-07 00:09:04,0,0,3,1,2013-07-03,2013-07-07,2,0,1,669,3,2,50,212,5,0
1197968,66,294,7976,509.8404,2013-01-07 00:09:30,0,0,9,3,2013-01-16,2013-01-18,1,0,1,5811,3,2,50,350,57,0
659974,66,462,49272,2429.8293,2013-01-07 00:10:56,0,0,0,5,2013-01-28,2013-01-31,3,0,3,11569,1,2,50,623,79,0
1119057,23,48,4924,,2013-01-07 00:11:44,1,1,9,2,2013-01-28,2013-02-02,2,0,1,44035,6,6,204,27,37,0
53327,66,174,38899,341.9762,2013-01-07 00:11:57,1,0,9,3,2013-01-07,2013-01-10,2,2,1,24374,6,2,50,627,32,0
1153606,3,50,5703,,2013-01-07 00:12:15,0,0,4,2,2013-05-02,2013-05-03,2,1,1,19779,6,2,50,212,84,0
786980,66,337,49550,179.9259,2013-01-07 00:12:20,0,0,9,2,2013-02-14,2013-02-17,2,1,1,25702,6,2,50,688,18,0
1100037,66,447,50736,1977.298,2013-01-07 00:12:37,0,0,9,1,2013-02-01,2013-02-03,1,0,1,44201,8,2,50,675,55,0
976118,69,761,41949,,2013-01-07 00:12:41,0,0,3,1,2013-02-15,2013-02-20,3,1,1,1014,1,3,92,168,92,0
1193156,3,51,9527,,2013-01-07 00:13:00,0,0,4,1,2013-01-13,2013-01-14,1,0,1,4992,1,3,110,72,10,0
332853,205,155,14703,995.6073,2013-01-07 00:13:26,1,0,9,4,2013-03-24,2013-03-28,2,2,1,12206,6,2,50,628,1,0
1084815,69,648,6514,,2013-01-07 00:13:53,0,1,9,11,2013-03-18,2013-04-01,2,0,1,8268,1,2,50,682,39,0
1084377,69,998,52849,,2013-01-07 00:14:05,0,0,1,1,2013-01-17,2013-01-22,1,0,1,8260,1,2,50,701,17,0
1012948,63,480,38276,11447.1445,2013-01-07 00:14:20,0,0,9,1,2013-02-08,2013-02-09,1,1,1,8217,1,0,34,1396,2,0
1100037,66,447,50736,1976.6836,2013-01-07 00:14:24,0,0,9,1,2013-02-01,2013-02-03,1,0,1,44201,8,2,50,675,55,1
283970,66,246,50661,2756.3593,2013-01-07 00:14:47,0,0,0,1,2013-05-23,2013-05-30,2,0,1,8250,1,2,50,628,54,0
335977,66,174,18037,33.6549,2013-01-07 00:15:19,0,0,2,1,2013-01-10,2013-01-11,2,0,1,8279,1,2,50,1230,86,0
762423,205,385,50121,,2013-01-07 00:15:28,0,0,9,1,2013-05-07,2013-05-12,2,1,1,8745,1,6,204,27,64,0
264076,66,462,3608,2841.4608,2013-01-07 00:15:59,0,0,1,2,2013-03-13,2013-03-14,2,0,1,12224,6,2,50,213,26,0
233286,3,50,5703,,2013-01-07 00:16:17,1,0,1,2,2013-05-25,2013-05-27,1,0,1,8745,1,6,204,27,64,0
568988,93,71,15362,,2013-01-07 00:17:05,0,0,9,2,2013-01-26,2013-01-30,2,1,1,3011,3,6,107,822,58,0
1193156,3,51,9527,,2013-01-07 00:17:08,0,0,4,1,2013-01-13,2013-01-14,1,0,1,4992,1,3,110,72,10,1
856219,70,47,14566,,2013-01-07 00:17:53,0,0,1,2,2013-04-21,2013-04-23,1,0,1,468,1,3,48,153,89,0
283970,66,246,50661,2757.8656,2013-01-07 00:18:33,0,0,0,2,2013-05-23,2013-05-30,2,0,1,8250,1,2,50,628,88,0
335977,66,174,18037,32.0956,2013-01-07 00:18:34,0,0,2,1,2013-01-10,2013-01-11,2,0,1,8279,1,2,50,1230,69,0
53327,66,174,38899,341.9762,2013-01-07 00:19:11,1,0,9,2,2013-01-07,2013-01-10,4,2,2,24374,6,2,50,627,32,0
1018895,69,761,41949,,2013-01-07 00:19:26,0,0,0,2,2013-09-08,2013-09-10,2,0,1,27215,6,2,50,645,33,0
